Name,최종 편집 일시
위키 양식,"August 4, 2025 2:39 AM"
"(읽을거리-기사) [해외는 지금] 일본 - ""‘내 지역은 스스로 지킨다’는 정신으로 무장”","July 3, 2025 9:48 AM"
"(읽을거리-자연드림 블로그) 커뮤니티로 극복하는 재난, 일본 재난대응 연수기","July 3, 2025 9:48 AM"
(읽을거리-칼럼) 보사이(防災)는 문화였다,"July 3, 2025 9:48 AM"
구글 ‘방재어플’ 검색결과,"July 3, 2025 9:45 AM"
오사카 방재페이지 - 오사카 방재 어플,"July 3, 2025 9:45 AM"
스마트폰에 넣어두면 좋을 방재앱 8선,"July 3, 2025 9:45 AM"
도쿄도 방재페이지 - 도쿄도 방재 어플,"July 3, 2025 9:45 AM"
내각성 방재정보 페이지 - 어플 웹사이트 추천,"July 3, 2025 9:45 AM"
방재어플 추천 랭킹 2025,"July 3, 2025 9:46 AM"
일본 방재문화 세계 발신 프로젝트 2018 (日本防災文化世界発信プロゼッ),"July 3, 2025 9:46 AM"
‘놀이 방재 프로젝트’- 재난가방 - 노약자,"July 3, 2025 9:24 AM"
일본 소방청 데이터베이스- 방재 아이템,"July 3, 2025 9:23 AM"
방재굿즈 전문 온라인 상점,"July 3, 2025 9:21 AM"
야후 재팬 BOSAI DIVERSITY,"July 3, 2025 9:25 AM"
야후 재팬 재난 맵,"March 29, 2025 1:14 PM"
NYC Hurricane Evacuation  Zone Finder,"April 16, 2025 8:49 AM"
Emergency: Severe Weather App,"April 15, 2025 7:04 PM"
Ready.gov,"April 15, 2025 7:52 PM"
Crisis Commons,"March 29, 2025 1:14 PM"
한국의 재난안전공공서비스,"April 3, 2025 3:13 PM"
한국의 재난안전공공데이터,"April 3, 2025 11:30 AM"
119 안심콜,"March 29, 2025 1:15 PM"
제5차 국가안전관리기본계획(2025~2029),"April 3, 2025 3:16 PM"
리슨투더시티 재난도시,"March 29, 2025 1:08 PM"
Chatbots in humanitarian contexts,"April 15, 2025 6:59 PM"
IFRC GO,"April 15, 2025 6:55 PM"
Data for Crisis,"April 15, 2025 6:53 PM"
펀딩 기회 목록,"April 5, 2026 12:58 PM"
재난 관리 단계,"June 4, 2025 5:31 PM"
위키 양식,"June 1, 2025 5:03 AM"
대피소,"May 29, 2025 11:57 AM"
재난 안전 서비스,"May 27, 2025 9:27 PM"
수요자 리스트,"May 27, 2025 9:24 PM"
재난가방,"May 23, 2025 4:39 PM"
고령자와 재난,"April 15, 2025 5:18 PM"
장애인과 재난,"April 15, 2025 5:14 PM"
재난,"June 4, 2025 5:30 PM"
재난안전 교육,"April 15, 2025 5:27 PM"
재난 전문가,"April 3, 2025 11:30 AM"
