특성명,대분류,롤업,소분류,수요자 특성
기도실,시설,문화적 배경,다양성,무슬림 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EB%AC%B4%EC%8A%AC%EB%A6%BC%2020238e82116680ab9b58c5b1eb1c1fbc.md)
수어 통역,서비스,"신체 특성,언어적 배경",통번역,청각 장애 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EC%B2%AD%EA%B0%81%20%EC%9E%A5%EC%95%A0%2020238e821166808abe7dc3dae432ab62.md)
최단 거리,위치,"지리적 특징,신체 특성,언어적 배경,신체 특성",,"집 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EC%A7%91%2020238e82116680d08e66c3798853c5af.md), 청각 장애 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EC%B2%AD%EA%B0%81%20%EC%9E%A5%EC%95%A0%2020238e821166808abe7dc3dae432ab62.md), 지체 장애 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EC%A7%80%EC%B2%B4%20%EC%9E%A5%EC%95%A0%2020238e82116680109e18f80ed4d8cb69.md)"
수유실,시설,대상,가정 지원,영/유아 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EC%98%81%20%EC%9C%A0%EC%95%84%2020238e82116680b58ce4f8800993c9a0.md)
경사로,시설,"대상,신체 특성,언어적 배경,신체 특성,신체 특성,대상",무장애,"영/유아 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EC%98%81%20%EC%9C%A0%EC%95%84%2020238e82116680b58ce4f8800993c9a0.md), 청각 장애 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EC%B2%AD%EA%B0%81%20%EC%9E%A5%EC%95%A0%2020238e821166808abe7dc3dae432ab62.md), 관절염 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EA%B4%80%EC%A0%88%EC%97%BC%2020238e821166802a91eedff6cf0d2021.md), 지체 장애 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EC%A7%80%EC%B2%B4%20%EC%9E%A5%EC%95%A0%2020238e82116680109e18f80ed4d8cb69.md), 노약자 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%EB%85%B8%EC%95%BD%EC%9E%90%2020238e8211668023a1f5fb8555a11731.md)"
지진,시설,,재난 특화,
외국어,서비스,언어적 배경,통번역,한국어를 말하지 못 함 (%EC%88%98%EC%9A%94%EC%9E%90%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1/%ED%95%9C%EA%B5%AD%EC%96%B4%EB%A5%BC%20%EB%A7%90%ED%95%98%EC%A7%80%20%EB%AA%BB%20%ED%95%A8%2020238e82116680fcaa90cd57c2dadf74.md)
놀이실,시설,,가정 지원,
장애인 화장실,시설,,무장애,
성중립 화장실,시설,,다양성,
최소 도보,위치,,,
해일,시설,,재난 특화,
