우선순위,대분류,소분류,특성명(KR),관련 아이템,관련 대피소 특성,대피소 소분류,자동 분류,비고
,문화적 배경,종교,유태인,,,,,
,문화적 배경,종교,무슬림,,기도실 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EA%B8%B0%EB%8F%84%EC%8B%A4%2020238e821166801ba30fc059c38673c5.md),다양성,❌,
,"능력, 언어적 배경","언어, 역할 수행",수어 구사,,,,❌,
,언어적 배경,언어,한국어를 읽지 못 함,"사전, 필기도구",,,❌,
,언어적 배경,언어,한국어를 말하지 못 함,"낱말카드, 필기도구",외국어 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EC%99%B8%EA%B5%AD%EC%96%B4%2020238e8211668034921df52a0ffdcf02.md),통번역,❌,
,신체 특성,장애,발달 장애,"긴급 연락처, 의료기록",,,❌,
,신체 특성,장애,시각 장애,지팡이,,,❌,
,신체 특성,장애,지체 장애,"긴급 연락처, 호루라기, 휠체어","경사로 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EA%B2%BD%EC%82%AC%EB%A1%9C%2020238e82116680358aa0c3b9541f192a.md), 최단 거리 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EC%B5%9C%EB%8B%A8%20%EA%B1%B0%EB%A6%AC%2020238e82116680799969cb0d9adb46f4.md)",무장애,❌,
,"신체 특성, 언어적 배경",장애,청각 장애,"낱말카드, 필기도구","경사로 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EA%B2%BD%EC%82%AC%EB%A1%9C%2020238e82116680358aa0c3b9541f192a.md), 최단 거리 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EC%B5%9C%EB%8B%A8%20%EA%B1%B0%EB%A6%AC%2020238e82116680799969cb0d9adb46f4.md), 수어 통역 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EC%88%98%EC%96%B4%20%ED%86%B5%EC%97%AD%2020238e8211668091bdf6e4454c7abd8c.md)","무장애,통번역",❌,
,신체 특성,정신 건강,PTSD,처방약,,,❌,
,신체 특성,정신 건강,고립은둔청년,,,,❌,
,신체 특성,정신 건강,동물공포증,처방약,,,❌,
