서비스명,단계
"NERV Disaster Prevention ","1. 예방 및 완화 (mitigation), 3. 대응 (Response)"
"Watch Duty ",2. 준비 (preparedness)
Map Simulator,1. 예방 및 완화 (mitigation)
genesys Protect,3. 대응 (Response)
산불 대피소 안내 지도,3. 대응 (Response)
야후재팬- 피난장소 map,3. 대응 (Response)
야후재팬 재난어플,
특무기관 NERV 방재 앱,
재난가방 정보,2. 준비 (preparedness)
Tokyo Rinkai Disaster Prevention Park,"2. 준비 (preparedness), 3. 대응 (Response)"
도쿄도 방재 앱,"1. 예방 및 완화 (mitigation), 2. 준비 (preparedness), 3. 대응 (Response)"
오사카 방재 앱,"1. 예방 및 완화 (mitigation), 2. 준비 (preparedness), 3. 대응 (Response)"
NINA,2. 준비 (preparedness)
