서비스명,URL,국가,단계
"NERV Disaster Prevention ",https://nerv.app/en/,일본,"1. 예방 및 완화 (mitigation), 3. 대응 (Response)"
"Watch Duty ","https://www.watchduty.org/ ",미국,2. 준비 (preparedness)
Map Simulator,https://mused.com/map/,,1. 예방 및 완화 (mitigation)
genesys Protect,https://protect.genasys.com/download,미국,3. 대응 (Response)
산불 대피소 안내 지도,https://sites.google.com/ewha.ac.kr/sanbuldaepiso,한국,3. 대응 (Response)
야후재팬- 피난장소 map,https://crisis.yahoo.co.jp/map/,일본,3. 대응 (Response)
야후재팬 재난어플,https://emg.yahoo.co.jp/,일본,
특무기관 NERV 방재 앱,https://nerv.app/,일본,
재난가방 정보,https://www.gensai.pref.hiroshima.jp/prepare/goods.html,일본,2. 준비 (preparedness)
Tokyo Rinkai Disaster Prevention Park,https://www.tokyorinkai-koen.jp/en/,일본,"2. 준비 (preparedness), 3. 대응 (Response)"
도쿄도 방재 앱,https://play.google.com/store/apps/details?id=jp.tokyo.metro.tokyotobousaiapp&hl=ko,일본,"1. 예방 및 완화 (mitigation), 2. 준비 (preparedness), 3. 대응 (Response)"
오사카 방재 앱,https://play.google.com/store/apps/details?id=jp.ne.goo.bousai.osakaapp&hl=ko,일본,"1. 예방 및 완화 (mitigation), 2. 준비 (preparedness), 3. 대응 (Response)"
NINA,,독일,2. 준비 (preparedness)
