Name,키워드,국가,URL,최종 편집 일시,생성 일시
펀딩 기회 목록,,,,"April 5, 2026 12:58 PM","April 5, 2026 12:52 PM"
위키 양식,,일본,,"August 4, 2025 2:39 AM","August 4, 2025 2:39 AM"
"(읽을거리-기사) [해외는 지금] 일본 - ""‘내 지역은 스스로 지킨다’는 정신으로 무장”",커뮤니티,일본,https://www.thepublicnews.co.kr/news/articleView.html?idxno=12779,"July 3, 2025 9:48 AM","July 3, 2025 9:47 AM"
"(읽을거리-자연드림 블로그) 커뮤니티로 극복하는 재난, 일본 재난대응 연수기","재난대응, 커뮤니티",일본,https://m.blog.naver.com/icoopkorea/221697850517,"July 3, 2025 9:48 AM","July 3, 2025 9:43 AM"
(읽을거리-칼럼) 보사이(防災)는 문화였다,재난대응,일본,https://www.fnnews.com/news/202505121804557985,"July 3, 2025 9:48 AM","July 3, 2025 9:42 AM"
일본 방재문화 세계 발신 프로젝트 2018 (日本防災文化世界発信プロゼッ),"다국어, 재난대응",일본,https://www.medical-bank.org/bousai-bunka/kor/index.html,"July 3, 2025 9:46 AM","July 3, 2025 9:34 AM"
방재어플 추천 랭킹 2025,"앱, 재난대응",일본,https://my-best.com/2347,"July 3, 2025 9:46 AM","July 3, 2025 9:37 AM"
스마트폰에 넣어두면 좋을 방재앱 8선,"앱, 재난대응",일본,https://koneta.nifty.com/koneta_detail/1141008021825_1.htm,"July 3, 2025 9:45 AM","July 3, 2025 9:40 AM"
내각성 방재정보 페이지 - 어플 웹사이트 추천,"앱, 재난대응",일본,https://www.bousai.go.jp/kokusai/web/index.html,"July 3, 2025 9:45 AM","July 3, 2025 9:38 AM"
도쿄도 방재페이지 - 도쿄도 방재 어플,"앱, 재난대응",일본,https://www.bousai.metro.tokyo.lg.jp/1028747/,"July 3, 2025 9:45 AM","July 3, 2025 9:39 AM"
오사카 방재페이지 - 오사카 방재 어플,앱,일본,https://www.city.osaka.lg.jp/kikikanrishitsu/page/0000345020.html,"July 3, 2025 9:45 AM","July 3, 2025 9:41 AM"
구글 ‘방재어플’ 검색결과,"앱, 재난대응",일본,https://www.google.com/search?q=%E9%98%B2%E7%81%BD%E3%80%80%E3%82%A2%E3%83%97%E3%83%AA&sca_esv=f8b4fb4309dfaf24&rlz=1C5CHFA_enKR959KR967&ei=ldFlaIP_LICovr0P2pOB0Q0&start=0&sa=N&sstk=Ac65TH5x31_f7K6r3Pqk8cTCnx1TMwtRx7py_n97epMYQGRQI3UU3zFPzg9KO1uWpAdG66DL9by1-mvRj_7bb63Z2vIKr3M-2SjD-ekeLmkOnJO1mhiYRuP71O8ukPQrGMMj&ved=2ahUKEwjDnYyKup-OAxUAlK8BHdpJINo4ChDy0wN6BAgJEAQ&biw=1920&bih=949&dpr=1.5,"July 3, 2025 9:45 AM","July 3, 2025 9:41 AM"
야후 재팬 BOSAI DIVERSITY,다양성,일본,https://bosaidiversity.yahoo.co.jp/en/,"July 3, 2025 9:25 AM","March 27, 2025 9:41 PM"
‘놀이 방재 프로젝트’- 재난가방 - 노약자,"고령자, 재난대응",일본,https://asobi-bosai.com/blog/202412143763/,"July 3, 2025 9:24 AM","July 3, 2025 9:24 AM"
일본 소방청 데이터베이스- 방재 아이템,"공공데이터, 재난대응",일본,"https://www.fdma.go.jp/publication/database/activity001.html ","July 3, 2025 9:23 AM","July 3, 2025 9:22 AM"
방재굿즈 전문 온라인 상점,재난대응,일본,"https://www.pro-bousai.jp/html/page31.html?srsltid=AfmBOoq9Vtn2e0_UhIVZJE9GdCGpsgNLye4l9IOLV5-fFx8f8CUkLWC1 ","July 3, 2025 9:21 AM","July 3, 2025 9:21 AM"
재난 관리 단계,,,,"June 4, 2025 5:31 PM","June 4, 2025 5:29 PM"
재난,,,,"June 4, 2025 5:30 PM","April 15, 2025 3:51 PM"
위키 양식,,,,"June 1, 2025 5:03 AM","June 1, 2025 5:03 AM"
대피소,"공공데이터, 대피소",,,"May 29, 2025 11:57 AM","May 29, 2025 11:56 AM"
재난 안전 서비스,,,,"May 27, 2025 9:27 PM","May 27, 2025 9:25 PM"
수요자 리스트,,,,"May 27, 2025 9:24 PM","April 15, 2025 8:09 PM"
재난가방,재난대응,,,"May 23, 2025 4:39 PM","April 15, 2025 7:47 PM"
NYC Hurricane Evacuation  Zone Finder,"다국어, 대피소, 장애인, 접근성, 지도, 허리케인",미국,"https://maps.nyc.gov/hurricane/ ","April 16, 2025 8:49 AM","April 15, 2025 7:36 PM"
Ready.gov,공공서비스,미국,https://www.ready.gov/,"April 15, 2025 7:52 PM","April 15, 2025 4:45 PM"
Emergency: Severe Weather App,"안전교육, 앱, 재난대응",미국,https://3sidedcube.com/projects/fighting-disasters-with-the-emergency-preparedness-platform,"April 15, 2025 7:04 PM","April 15, 2025 7:01 PM"
Chatbots in humanitarian contexts,AI,국제,https://communityengagementhub.org/resource/chatbots-in-humanitarian-contexts/,"April 15, 2025 6:59 PM","April 15, 2025 6:57 PM"
