작업,담당자,상위 작업,선행 작업,일정,진행 상태,프로젝트,하위 작업,회의록,후속 작업
정기모임 일정 새로 투표,Geunhee Lee,,팀원 모집글 공지 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%8C%80%EC%9B%90%20%EB%AA%A8%EC%A7%91%EA%B8%80%20%EA%B3%B5%EC%A7%80%201c538e82116680c9bc5ccf40f9dd6247.md),"March 29, 2025 → April 4, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,킥오프 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%82%A5%EC%98%A4%ED%94%84%201c338e821166801d9a8ada838f21c776.md)
킥오프,Geunhee Lee,,정기모임 일정 새로 투표 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%A0%95%EA%B8%B0%EB%AA%A8%EC%9E%84%20%EC%9D%BC%EC%A0%95%20%EC%83%88%EB%A1%9C%20%ED%88%AC%ED%91%9C%201c338e82116680e79fc0f0ae3d223415.md),"April 8, 2025 8:00 PM (GMT+9)",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,풀씨 안심이 킥오프 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%92%80%EC%94%A8%20%EC%95%88%EC%8B%AC%EC%9D%B4%20%ED%82%A5%EC%98%A4%ED%94%84%201cf38e8211668083b21bce4a6b1ca421.md),프로젝트 계획 세우기 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B3%84%ED%9A%8D%20%EC%84%B8%EC%9A%B0%EA%B8%B0%201c538e821166804b8412ca1cd51af806.md)
로고 만들기,Geunhee Lee,,,"April 8, 2025 → April 11, 2025",중단,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
기존 노션 페이지 내용 옮기기,Geunhee Lee,,,"March 29, 2025 → March 30, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
풀씨 중간보고,Geunhee Lee,,,"June 16, 2025 → June 22, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
풀씨 결과보고서 제출,,,,"October 12, 2025",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
풀씨 결과공유회,,,,"November 12, 2025",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
팀원 모집글 공지,Eunsoo Lee,,팀원 온보딩 문서 작성 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%8C%80%EC%9B%90%20%EC%98%A8%EB%B3%B4%EB%94%A9%20%EB%AC%B8%EC%84%9C%20%EC%9E%91%EC%84%B1%201c538e82116680e5846cf824e9a612ae.md),"March 20, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,정기모임 일정 새로 투표 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%A0%95%EA%B8%B0%EB%AA%A8%EC%9E%84%20%EC%9D%BC%EC%A0%95%20%EC%83%88%EB%A1%9C%20%ED%88%AC%ED%91%9C%201c338e82116680e79fc0f0ae3d223415.md)
팀원 온보딩 문서 작성,Eunsoo Lee,,,"March 19, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,팀원 모집글 공지 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%8C%80%EC%9B%90%20%EB%AA%A8%EC%A7%91%EA%B8%80%20%EA%B3%B5%EC%A7%80%201c538e82116680c9bc5ccf40f9dd6247.md)
데이터 수집 및 분석 계획,,,프로젝트 계획 세우기 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B3%84%ED%9A%8D%20%EC%84%B8%EC%9A%B0%EA%B8%B0%201c538e821166804b8412ca1cd51af806.md),"April 30, 2025 → May 31, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,"주간 회의 250429 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250429%201e438e82116680d38aa8efe8a78324c8.md), 주간 회의 250520 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250520%201f938e8211668071b9ddeb33ebde2c05.md)",
