프로젝트,기간,진행 상태
2025 풀씨,"April 1, 2025 → September 30, 2025",완료
BI,"April 2, 2025 → April 15, 2025",완료
Students@AI Seoul 2025,"April 12, 2025 → April 12, 2025",완료
25년 4월 밋앤핵,"April 15, 2025 → April 30, 2025",완료
홍대 포스터 선정,"February 24, 2026 → April 17, 2026",진행 중
풀꽃 사업 지원,"February 24, 2026 → March 4, 2026",완료
26년 3월 밋앤핵,"March 6, 2026 → March 8, 2026",완료
2026년 펀딩 및 지원 확보,"March 8, 2026 → April 30, 2026",진행 중
2026 당신 옆의 공익활동,"March 15, 2026 → July 23, 2026",진행 중
서울연구원 작은연구 지원사업,"May 2, 2026 → May 6, 2026",진행 중
안심이 웹페이지,"May 5, 2026 → May 16, 2026",계획 중
